geography code,total,SP,OF,OH
E02005940,2541,844,1451,246
E02005941,2820,1075,1462,283
E02005942,2152,812,1050,290
E02005943,2560,711,1506,343
E02005944,2351,695,1390,266
E02005945,3462,1121,1786,555
E02005946,3119,932,1821,366
E02005947,2622,1351,889,382
E02005948,2776,1219,1111,446
E02005949,2240,683,1125,432
E02005950,3982,1356,1427,1199
E02005951,2499,1004,1056,439
E02005952,4443,1410,2249,784
E02005953,2069,662,940,467
E02005954,3552,1150,2009,393
E02005955,3625,1115,2175,335
E02005956,2340,639,1504,197
E02005957,2579,801,1571,207
E02005921,2180,485,1591,104
E02005922,2453,634,1698,121
E02005923,2278,648,1455,175
E02005924,4239,1720,2211,308
E02005925,3161,717,2223,221
E02005926,3167,889,2117,161
E02005927,2192,566,1506,120
E02005928,2724,630,1955,139
E02005929,2637,620,1888,129
E02005930,3024,734,2139,151
E02005931,2996,563,2296,137
E02005932,2278,526,1634,118
E02005933,3036,622,2253,161
E02005934,3563,720,2644,199
E02005935,2734,942,1687,105
E02005936,3181,711,2268,202
E02005937,2699,720,1790,189
E02005938,2185,471,1565,149
E02005939,2496,705,1641,150
E02005940,2541,844,1451,246
E02005941,2820,1075,1462,283
E02005942,2152,812,1050,290
E02005943,2560,711,1506,343
E02005944,2351,695,1390,266
E02005945,3462,1121,1786,555
E02005946,3119,932,1821,366
E02005947,2622,1351,889,382
E02005948,2776,1219,1111,446
E02005949,2240,683,1125,432
E02005950,3982,1356,1427,1199
E02005951,2499,1004,1056,439
E02005952,4443,1410,2249,784
E02005953,2069,662,940,467
E02005954,3552,1150,2009,393
E02005955,3625,1115,2175,335
E02005956,2340,639,1504,197
E02005957,2579,801,1571,207
E02005958,2292,600,1590,102
E02005959,2191,515,1553,123
E02005960,2160,600,1452,108
E02005961,2750,715,1866,169
E02005962,3152,578,2438,136
E02005963,3188,804,2182,202
E02005964,2876,630,2111,135
E02005965,2147,569,1475,103
E02005966,3019,733,2183,103
E02005967,2186,567,1497,122
E02005968,2462,492,1846,124
E02005969,3455,1054,2204,197
E02005970,2294,760,1396,138
E02005971,2271,597,1558,116
E02005972,3132,735,2218,179
E02005973,2546,1001,1387,158
E02005974,2492,862,1452,178
E02005975,3056,700,2203,153
E02005976,2166,443,1597,126
E02005977,2263,526,1641,96
E02005978,2605,616,1835,154
E02005979,3509,897,2378,234
E02005980,3752,825,2737,190
E02005981,3533,729,2628,176
E02005982,2431,603,1710,118
E02005983,3961,1356,2383,222
E02005984,2646,509,2016,121
E02005985,2841,691,1983,167
E02005986,3360,972,2240,148
E02005987,2965,672,2112,181
E02005988,2840,591,2121,128
E02005989,2004,377,1460,167
E02005990,2246,489,1628,129
E02005991,3449,772,2481,196
E02005992,3615,964,2454,197
E02005993,2540,784,1624,132
E02005994,2408,610,1673,125
E02005995,2479,691,1672,116
E02005996,3363,961,2243,159
E02005997,2357,607,1633,117
E02005998,2251,507,1634,110
E02005999,2389,505,1772,112
E02006000,3408,805,2416,187
E02006001,2198,473,1645,80
E02006002,3494,1024,2234,236
E02006003,2142,466,1545,131
E02006004,2371,699,1547,125
E02006005,2232,318,1816,98
E02006006,2208,482,1604,122
E02006007,2552,623,1811,118
